Time,Remote DRAM Accesses,Local DRAM Accesses
2.002025166,53331,1953338
4.004148681,58202,206772
6.006238506,54751,206296
8.008338077,65124,197507
10.01042661,56684,148628
12.012534577,53230,213514
14.01462583,65016,220845
16.016716519,47965,183808
18.018808381,55796,182734
20.020897425,57046,196796
22.022985125,52449,219832
24.025072208,64381,211631
26.027163219,50502,197529
28.029264504,66009,195494
30.031352899,56200,196304
32.033438283,52503,212983
34.035523934,63341,225992
36.037618831,63581,198415
38.039721632,61252,228625
40.041808947,56024,202250
42.042592251,67003,492483
44.045069219,76363,696817
46.046621453,75560,672873
48.049249422,74901,680978
50.050485188,76920,685043
52.052935164,74748,685263
54.054824853,83805,731050
56.057217161,93314,722612
58.058564791,79111,687717
60.061059764,83031,707466
62.062517275,74486,676693
64.065000642,73593,674463
66.066478792,75095,676839
68.069059213,73539,681940
70.070485329,75532,686198
72.072963121,73980,677251
74.074708539,76099,698558
76.077255465,75007,662685
78.078481273,73661,681857
80.081017617,75779,679589
82.082608326,75082,679839
84.085132627,74046,678439
86.086487573,73917,678990
88.089063656,76235,696775
90.090484829,74006,675249
92.092932121,74445,672150
94.09448525,74622,690357
96.096929081,76021,678107
98.098497806,75010,683546
100.100999957,73731,682556
102.102483602,76012,669080
104.105052342,75637,686204
106.106589736,74066,683607
108.109018236,76235,671323
110.110484891,73826,681011
112.112954564,73358,667550
114.114569674,73968,685193
116.117018152,94537,759606
118.118482506,82578,697207
120.120934485,87867,695542
122.122485734,75967,683132
124.124945234,76951,679829
126.126509201,73434,684514
128.128990466,73923,674731
130.130481416,73874,676469
132.13291987,71108,665839
134.134486989,75932,686939
136.137001648,72104,670713
138.138486621,74276,688918
140.140960722,76803,686909
142.142504636,72019,672698
144.144958095,74301,680611
146.146486289,71901,674886
148.149025498,74206,684429
150.150489905,73968,675013
152.153017332,74994,682685
154.154587185,73029,671631
156.15706181,75644,677713
158.158612797,73840,680040
160.161067054,73671,682718
162.162480015,74080,692674
164.164926576,72946,670521
166.166587677,73895,674398
168.169026786,73492,689462
170.170534401,73780,677206
172.173000023,73383,669186
174.174494979,72703,686841
176.176920058,75213,686407
178.17848659,103751,756838
180.180967421,79233,686729
182.182485219,84832,705800
184.185047758,75692,673283
186.186604591,76751,673897
188.189375247,76187,689876
190.19071865,77082,679636
192.19325086,74956,676141
194.194491972,74401,675281
196.196980344,73778,666809
198.198481721,74702,680304
200.20093355,74349,676274
202.202560048,73823,678696
204.204976075,73639,672893
206.20648696,75310,681739
208.209097972,78448,690844
210.210530905,78492,682248
212.213217995,74445,671540
214.214485111,73260,674461
216.216944583,74112,685571
218.218478819,73715,669869
220.219432487,73976,681750
221.469213419,2897038,2912208
