Time,Remote DRAM Accesses,Local DRAM Accesses
2.002024354,1946591,234870
4.003306457,192338,54229
6.005400134,213841,60179
8.007481741,177633,54128
10.009570966,155173,57089
12.011667502,206359,55889
14.013765166,227387,53114
16.015862906,216412,52160
18.017957822,189087,53311
20.020042597,199850,58003
22.022133092,226707,53594
24.024229398,208882,50683
26.026332682,243095,58043
28.02843784,212611,53764
30.030534777,199683,56369
32.032629182,243439,75243
34.034730661,222793,55149
36.036829191,239958,60658
38.038937963,222685,51794
40.041046869,219837,53810
42.043141162,234642,52388
44.04479171,96827,788611
46.047269483,86644,751092
48.048789241,88563,768179
50.051244295,86569,752417
52.052817586,84999,755464
54.055261911,88704,756801
56.056792909,90409,773330
58.059307847,90625,756845
60.060946253,86907,756198
62.063404727,86357,762015
64.064791662,88331,750517
66.067297447,85877,753302
68.068857242,86605,754956
70.07139804,86832,760923
72.072830003,87280,765629
74.075363968,88124,755376
76.076793152,86496,757612
78.079317681,87920,756107
80.080794074,86814,762550
82.083253802,85426,750382
84.084934223,87130,758791
86.087493743,89661,775304
88.088793741,90366,751931
90.09125251,88478,769926
92.092790541,103876,817299
94.095314142,98811,775106
96.09679369,85568,746962
98.099248305,98807,769295
100.100794097,88337,768895
102.103229017,85692,746299
104.10479085,85991,752108
106.107294805,85465,751221
108.108789536,85629,752297
110.111493793,87494,751425
112.112830552,84483,743850
114.115286091,87577,753577
116.11679238,96554,777113
118.119349959,89033,766832
120.120792843,89659,763494
122.123487351,85871,748675
124.124791697,87648,755997
126.127275642,83949,740883
128.128859552,83860,744724
130.131473874,85431,754536
132.13279503,83609,752501
134.135319658,86841,761772
136.136792318,88470,761779
138.139266697,89650,759799
140.140787531,87404,753775
142.143221789,83974,743028
144.144847794,87223,744691
146.147366933,88277,758659
148.148788078,89047,756384
150.151277709,89088,755725
152.152789485,87328,757018
154.155389769,115647,831886
156.156836559,89570,772639
158.159471296,96474,766446
160.160793569,89353,764375
162.163375008,85757,751636
164.164846956,88659,760332
166.167417263,86949,761748
168.169159699,86984,755345
170.171686262,89754,760076
172.172976947,85395,744788
174.175468003,89118,756469
176.176794928,90901,755719
178.179276521,91021,766535
180.180791324,88302,760464
182.183251353,85728,762239
184.184815038,92211,765265
186.187264635,91552,764322
188.188850225,86776,749727
190.191301811,90559,760325
192.192841271,85601,744817
194.195393979,87984,754832
196.196846265,88917,763526
198.199298715,86320,767164
200.200788377,89786,759578
202.203285565,86570,757047
204.204799111,86002,752178
206.207238265,91328,754744
208.208809868,87643,751411
210.211423264,88448,755168
212.212789404,86602,745710
214.215235123,104809,830784
216.216787243,101291,788574
218.21929264,87374,767004
220.220827271,97762,761016
222.223300622,87218,746847
222.481077682,2932566,2543498
