Time,Remote DRAM Accesses,Local DRAM Accesses
2.002058723,82198,758290
4.004278221,26773,138239
6.006466319,17595,103800
8.00861752,18178,94389
10.010761176,21009,111552
12.012924729,18897,97619
14.01508281,22982,124104
16.017243979,20351,93835
18.019395442,21312,119952
20.021556169,20668,103393
22.023710599,20879,104883
24.025903622,20005,91683
26.028048838,20202,99487
28.030208459,20919,96469
30.032350113,22856,115919
32.034504761,26161,111299
34.036660499,19282,91461
36.038806163,44541,100979004
38.043849904,49194,731210172
40.046333843,63429,769097379
42.047849665,43646,769975961
44.050298743,50979,770533262
46.051856324,49602,770051479
48.054334549,45773,769915061
50.055852857,49055,770423097
52.058298045,48792,769859194
54.063848472,47292,771994121
56.066331641,54338,770264749
58.067855479,45854,770618495
60.070317585,54447,770105080
62.071857434,41875,770778316
64.074331575,50631,769871885
66.075852322,45975,770996999
68.078316461,51056,770176949
70.083854526,60087,771981383
72.086319517,52934,770139135
74.087858408,54206,770410228
76.090321345,54140,770117250
78.091852083,49284,769438512
80.094327611,51642,770009041
82.095850173,46347,770088347
84.098328398,50457,770195204
86.103847901,48886,771343720
88.106332196,50006,770850396
90.107852865,47619,769408993
92.110337863,46695,770802963
94.111853486,50775,769588003
96.114325869,66488,763334299
98.119851235,55434,769856264
100.12235242,53971,771167064
102.123854067,61835,768240425
104.126303837,53637,770972878
106.127848661,47704,769362607
108.130317836,47640,771293434
110.131851761,55522,769828034
112.135847775,44462,771464901
114.138314075,45870,769934307
116.139853911,48534,770748140
118.142338384,46803,769398295
120.147852274,49858,772208680
122.150333459,47927,768749035
124.151856295,57544,770327543
126.154331981,44636,770297160
128.155851657,48743,770665195
130.158323755,50346,769861392
132.159849165,45682,770509150
134.161573982,50245,769589638
136.167850715,49420,771873390
138.170320471,46379,770328097
140.171848733,47302,770621821
142.174308798,49068,769145683
144.175852035,55002,770617790
146.178324631,51790,770012141
148.179852512,51382,769933410
150.18229695,51131,770343573
152.183847542,47407,770124657
154.187847197,49466,771569048
156.190366168,528759,595719697
156.377555203,245037,297265
