Time,Remote DRAM Accesses,Local DRAM Accesses
2.002081381,84948,627718
4.004697905,52305,203495
6.006874123,27266,104776
8.009034537,32210,117054
10.011206683,37302,122779
12.013378096,40338,120260
14.015568691,31715,121131
16.017776175,29278,116532
18.019959308,41440,124272
20.022099399,49737,128656
22.024285837,36995,128622
24.026461705,50035,132406
26.02863026,44079,126043
28.030812887,42579,136958
30.032985531,45870,128366
32.035161653,35057,122019
34.037326433,58914,134113
36.039497029,40251,153040
38.039706782,55786512,31831889
40.043725936,197132065,1278347783
42.04771679,103143607,1600202651
44.051752333,79834105,1688760209
46.055743145,68185695,1697468627
48.063751803,60338999,1737815946
50.067464159,54621617,1747135255
52.075733665,50918146,1752046991
54.079608651,47644488,1757987898
56.083722061,44774733,1756431237
58.09171416,42503282,1767525131
60.095938085,40563162,1764709761
62.101990826,39041649,1753212596
64.107730424,37107119,1757050855
66.11789966,36121611,1769239482
68.123818385,34020914,1739205452
70.127740638,33172913,1737662171
72.137940684,32333244,1751660047
74.143769877,31590396,1739429501
76.151713715,30672596,1745477626
78.155787382,29872549,1742197837
80.165926814,29298752,1750404219
82.170196023,28506640,1754077814
84.174564021,27899639,1750390979
86.183778664,27346315,1751523502
88.1917391,26766549,1747152577
90.195790889,26280273,1744762831
92.203712772,25886045,1744464135
94.207751892,25205283,1745842554
96.215711799,24885527,1754449533
98.219395478,24542989,1746850241
100.22772886,24330896,1744814785
102.231725807,23804423,1750599003
104.239739292,23596607,1746691247
106.243751963,23295488,1745928085
108.251780217,22847582,1746052179
110.259777946,22647190,1749135739
112.263741583,22398131,1741817672
114.271717551,22141728,1748450176
116.275739749,21735383,1742723986
118.2837413,21577501,1748530760
120.287714648,21025967,1746990735
122.295741906,20653201,1747374041
124.299732773,20732683,1743360903
126.307749104,20413114,1745800470
128.311728012,20229975,1747488518
130.319751547,20118435,1751298587
132.327732913,19862748,1749858484
134.331710273,19471193,1736544734
136.339802195,19195735,1743171263
138.347802094,18971312,1742885456
140.35573921,19144756,1743191461
142.359717504,18912573,1745507831
144.367745623,18755424,1741149869
146.371727226,18510344,1743240002
148.379747778,18450430,1744947669
150.387726372,18281961,1736321980
152.39173274,18014630,1736849282
154.39973144,17798003,1738589576
156.403778934,17661774,1721697344
158.408239913,12256376,1151230909
159.759834681,1995828,1963882
