Time,Remote DRAM Accesses,Local DRAM Accesses
2.002007751,18437,32558
4.004078884,277,89
6.006119057,331827,383303
8.008172956,4918875,4995354
10.010180558,6008521,6139678
12.01199497,58187307,65339809
14.014483496,71368178,84103377
16.015985294,73073220,86313509
18.018312505,72191545,86113950
20.021840721,72259270,86432935
22.023986889,72460290,86762910
24.02630356,72660965,87001301
26.027985231,72706403,87175026
28.030325172,72910940,87373089
30.031985278,73104745,87507162
32.034519071,73203451,87735022
34.036499401,73302749,87806997
36.039792458,73226311,87845951
38.042172572,73293229,87828933
40.043985819,73338210,87843448
42.047178523,73388655,87971602
44.047984768,73272394,87912022
46.050332824,73346715,87937196
48.053501502,73530394,88091016
50.055818274,73420113,88070692
52.058170396,73417801,87998472
54.059993554,73421933,88084250
56.065360682,73498796,88140527
58.06767751,73446611,88033858
60.067986091,73350247,87977577
62.070315897,73560138,88196937
64.071985807,73434421,88066221
66.074321858,73470718,88123164
68.075984826,73341007,88007769
70.078278608,73508391,88125810
72.079985782,73396210,88030335
74.08234938,73498776,88035379
76.084769571,74381025,88617218
78.087111122,73670667,88189548
80.089141609,73471534,88011910
82.091493641,73523069,88154711
84.09198486,73381025,87861339
86.094817017,73568858,88257671
88.095986577,73422959,88034965
90.098346531,73570697,88217956
92.100475145,73641070,88240206
94.102839706,73574133,88216330
96.105346185,73547605,88129964
98.107666638,73598046,88176480
100.110017842,73521337,88128020
102.111984423,73471975,88124214
104.115174822,73487988,88180824
106.115984226,73527954,88106445
108.118631021,73466203,88108052
110.119984558,73636188,88130743
112.12309294,73590709,88172933
114.123985559,73464530,88128257
116.127984586,73521729,88211781
118.130317001,73438346,88053133
120.131986611,73439328,88076930
122.134297495,73559035,88244899
124.135986061,73498731,88099360
126.139105727,73613133,88254277
128.139985385,73420117,88071445
130.142265926,73504050,88183779
132.14458712,73600742,88193368
134.146915109,73476604,88148832
136.148621116,73625824,88151195
138.152891713,74526079,88714867
140.155231732,73538485,88089028
142.155985252,73419287,87876930
144.15831926,73516615,88170541
146.159985397,73537828,88041693
148.162320081,73575600,88158544
150.164236016,73505051,88111731
152.167502656,73675307,88295086
154.169533134,73501574,88069920
156.172000856,73710249,88177037
158.17447236,73512211,88166738
160.176501929,73501145,88092530
162.178853908,73605117,88230600
164.1810211,73529084,88201158
166.183381665,73643557,88178862
168.185544062,73496883,88096678
170.188274684,73449210,88051352
172.190742462,73570851,88120266
174.193028858,73598603,88203305
176.195348102,73510622,88069671
178.197528335,73607763,88229433
180.199819822,73526131,88175092
182.202131563,73745972,88300441
184.204504016,73520740,88178010
186.206865657,73606258,88234077
188.209330986,73590054,88149307
190.211983206,73494437,88104312
190.487252777,8637290,10319418
