Time,Remote DRAM Accesses,Local DRAM Accesses
2.002024864,18189,32227
4.00412456,284,105
6.006191722,321932,372095
8.008248349,4774692,4870426
10.010313508,5714203,5831410
12.014264528,22140901,85558524
14.015906617,28247555,119344009
16.018212482,28338221,120418281
18.01990592,28530872,121681076
20.022218056,28619923,122200650
22.023905618,28649967,122511644
24.026215911,28785032,123067979
26.027903568,28824154,123238945
28.032024552,28942926,123951677
30.034305555,28949884,123789394
32.035906229,28940492,123822940
34.038246723,29066425,124389837
36.039905719,29022890,124250491
38.044063972,29101835,124573774
40.046378808,29118278,124477676
42.047906612,29546966,126129810
44.050253696,29299568,125117160
46.051905504,29094913,124501592
48.054233787,29153080,124831291
50.057083738,29177589,125038565
52.059392578,29158990,124814074
54.05990565,29171477,124909844
56.062226555,29182220,124981649
58.063963066,29178949,125034172
60.067550266,29210105,125138862
62.067905088,29166340,125014229
64.070240978,29219473,125240054
66.071905349,29215379,124969836
68.075039605,29214118,125146369
70.075905114,29213106,125138550
72.078895661,29245859,125117021
74.079904911,29275565,125313005
76.082700128,29231752,125110511
78.083904452,29211387,125180413
80.086948322,29286636,125502114
82.087906134,29217868,125192814
84.090209925,29422468,125684380
86.093718295,29288444,125416935
88.09590546,29231742,125060878
90.098235157,29282915,125422516
92.099909594,29255671,125229417
94.102198081,29272210,125373188
96.1039064,29255595,125277689
98.108017322,29251222,125420538
100.110346614,29302394,125627517
102.111914055,29349689,125558390
104.115582473,29679339,126834494
106.117083351,29253165,125355738
108.119467914,29231293,125128295
110.119904516,29281059,125333614
112.123861774,29232934,125317626
114.126250852,29232607,125264467
116.127903934,29261558,125417779
118.130233096,29271404,125477959
120.131906195,29316253,125565929
122.134895615,29228106,125345234
124.135905149,29257979,125253648
126.139055873,29301678,125403903
128.1399045,29216980,125234547
130.142910769,29264981,125357571
132.14390426,29263284,125268788
134.146203607,29311308,125516714
136.15014187,29294387,125429787
138.151907825,29243007,125264033
140.154209622,29308726,125474241
142.155905141,29278623,125298646
144.158215786,29273130,125388598
146.159904887,29311945,125592120
148.162260176,29283862,125313528
150.163934287,29270398,125318868
152.166279729,29306293,125381863
154.171905137,29296342,125523764
156.174257664,29333400,125583063
158.175907108,29198005,125227919
160.17819821,29335202,125403451
162.179905173,29258267,125518274
164.18222876,29772713,127269400
166.183906535,29307352,125412423
168.186225197,29196718,125006491
170.187906526,29252648,125331204
172.190250869,29261545,125465326
174.19190521,29261898,125357188
176.194261588,29308839,125297771
178.197527933,29317520,125422008
180.199859358,29241756,125433809
182.20221694,29329045,125505949
184.203904963,29211626,125300435
186.206201855,29261015,125303587
188.20922078,29291652,125448124
190.211554455,29275616,125386657
190.654812006,5881090,24747233
