Time,Remote DRAM Accesses,Local DRAM Accesses
2.00208122,13454,36392
4.004325138,1024,287
6.006484761,2184181,2304863
8.008565391,5478927,5580126
10.010760133,16997292,58465229
12.013193085,26864471,110919449
14.01563991,27350881,113535603
16.01817772,28358730,117736504
18.020611578,29445093,122255101
20.023082856,30465057,126087907
22.023831128,31362694,130343707
24.026274556,32371868,134504542
26.028709569,33352537,138447686
28.031155919,34575484,143472131
30.03358365,35481118,147305655
32.035904045,36299114,150642363
34.038308288,37727065,156601066
36.039903843,38596125,160000192
38.042288324,39965976,165721733
40.043827115,41029076,169936841
42.046293299,41912344,173472256
44.048704554,43107143,178439306
46.051096662,44251093,183017309
48.051905279,45332934,187459911
50.054307929,46302001,191386297
52.056701339,46976473,193985441
54.059113549,47865548,198109852
56.059909638,49294779,203786741
58.062288918,49863510,206372934
60.064715076,51239920,211543717
62.067184606,51739406,213610826
64.067815135,52639061,217451471
66.070234931,45542597,188433704
68.071899224,35566240,147593687
70.074528446,33242483,137808369
72.075921505,31187840,129150817
74.078639939,31578546,130949411
76.079932704,31850779,131695900
78.082580827,31930161,132013580
80.083935751,32268239,133638606
82.086672026,32602540,134884647
84.089362473,32791495,135573266
86.09185933,33114323,137218646
88.094586781,35089274,145031851
90.097318473,33975278,140673165
92.09986611,33972972,140431139
94.10260566,34198663,141433231
96.103837731,34322242,141924403
98.106567288,34682367,143594304
100.10729349,35149524,145112037
102.110012596,35348526,146069225
104.111852299,35562870,147077933
106.114492443,36119172,149388796
108.11586372,36248484,149820578
110.118612427,36587808,151256308
112.121411307,36626246,151212690
114.12384666,36515271,151190310
116.126545566,37022884,153093331
118.1291829,37477920,154925045
120.131769986,37801098,156567172
122.134583955,38130554,157376442
124.135834939,38315570,158374659
126.138626844,38797031,160066210
128.139934081,38795108,159992554
130.142561155,39149947,161989831
132.145217194,39234630,162373110
134.14631677,39552775,163312764
136.147841594,39877599,164556317
138.150645849,39894841,164791744
140.153271003,40615617,167581979
142.155867349,40793686,168276826
144.158480792,41011303,169094847
146.161182814,41066557,169680066
148.163929223,41279189,170185142
150.166529416,41663703,171988566
152.169118833,41643104,171989641
154.171839551,41932609,173051077
156.174547162,42532857,175407633
158.17719904,42547631,175257226
160.179933752,42776536,176387081
162.182605657,43073097,177995097
164.185281984,43271132,178231990
166.18783658,43404584,178976254
168.190481536,43841622,180593786
170.193114354,44033226,181817807
172.195889358,44210547,182305645
174.198504747,44269453,182429422
176.199847671,44618533,183979869
178.202559263,44768240,184426727
180.203935264,45257789,186171056
182.206514517,45503942,187510623
184.209200342,45385108,187110611
186.21184498,45749864,188727087
188.214429671,45810869,188961082
190.217082342,46052006,190042203
192.219748279,46403695,191006866
194.222394881,46739357,192442461
196.223855592,46900495,192953118
198.226407096,47130147,193847772
200.229010867,47372602,194857239
202.231644866,47627579,196243256
204.234336365,47799625,196949034
206.235870791,47954028,197641132
208.23859312,48168275,198126861
210.239834334,48282352,198521702
212.242442607,48461141,199446045
214.245095291,48842548,201329581
216.247783246,49008245,201243315
218.250541597,49344186,203295224
220.251830344,49110597,202328410
222.254528356,49601867,204204421
224.255841481,49830657,204914987
226.258540829,49939998,205420644
228.259888251,50219474,206195671
230.26264317,50344712,207189657
232.263967107,50627863,208357189
234.266634326,50666509,208627849
236.267842434,50920939,209773112
238.270514606,51257170,210744121
240.271941313,51218374,210977629
242.274484833,51472411,212110095
244.275951482,51664780,212652211
246.278534252,51900026,213773767
248.279948873,52308703,215167297
250.282628635,52244658,214792762
252.283930571,52282771,215408617
254.286658224,52479618,216304375
256.28785088,52748496,216871990
258.290430794,53114631,218501401
260.293110717,53191575,218394279
262.295835795,53324665,219291842
264.298521799,53612865,220506995
266.301112151,53952886,221501028
268.303736098,54136682,222488898
270.306434406,54317840,223470512
272.309046755,54203446,222723629
274.31167039,54522017,224189311
276.314322447,54549207,224504023
278.315914705,54960737,226041702
280.318581314,55206589,226862315
282.319925409,55144993,226461291
284.322470987,55197916,226993026
286.323858282,55059158,226730468
288.326495893,55688127,229103448
290.327944823,55809822,229358585
292.330619014,56137694,230931643
294.331831219,56030453,230256330
296.334418669,56555831,232248281
298.335841931,56513033,232042858
300.338448578,56681245,232746202
302.339845303,56638709,232808620
304.342424489,56716681,233632983
306.343845097,57484275,235908229
308.346466639,57358557,235520502
309.294147524,19394584,79118935
