Time,Remote DRAM Accesses,Local DRAM Accesses
2.002080035,14691,36477
4.004318392,1014,132
6.006425998,431728,3627344
8.008581418,524299,13996901
10.010743706,62535538,70121021
12.013189026,62804494,73404961
14.015675144,63578790,75526781
16.018255279,63571156,75040326
18.019743595,64514818,75873332
20.022247792,64118914,76265312
22.024674092,63755497,76182883
24.027123478,64125642,76306203
26.027761885,63641236,75785569
28.030187767,64280040,77285514
30.031754842,64474562,76652593
32.033423548,64331706,78340091
34.035844014,63853186,76875846
36.038449682,64665205,77625499
38.0409142,64772882,77725304
40.043492538,64660402,77285871
42.046016589,64667759,77599716
44.047694017,65326936,79059849
46.050128269,65319882,77521412
48.051681812,64924862,77237736
50.054175112,65134519,78505420
52.055679434,64492535,77823428
54.058125301,64803425,77350807
56.059761985,65186237,77233321
58.062174669,64965987,75871976
60.06367396,65342228,77154976
62.066055057,64899131,76862958
64.067754231,64498733,76859928
66.070289829,65267076,78388950
68.071668961,65043157,77067096
70.074113974,64985107,77103489
72.07575498,64031675,76473504
74.078183167,64774365,77743462
76.079778158,65750036,78331880
78.082255641,65294587,77507138
80.084698705,65324771,78457020
82.087112168,65582822,78115770
84.087670608,65332190,78334562
86.090107314,65442901,78769632
88.09167355,64913668,78586759
90.094146434,65025195,79070667
92.095753046,65058250,78057409
94.098227668,64999170,78782307
96.099678476,65025921,78753542
98.102197923,65240402,77906211
100.103772805,64875819,79089675
102.106140566,65412115,79740747
104.108674243,64840987,78565133
106.111199654,64817931,78237062
108.111766417,65287954,77197937
110.114222933,65277898,77944955
112.115668475,65403979,77828228
114.11816732,64478686,78926731
116.120697935,65293030,78104609
118.123251104,65597347,77969496
120.125672654,64983868,78016639
122.128165721,65094145,78371085
124.130664908,64865224,77775504
126.131754956,65185074,78519299
128.134218993,64851311,78441456
130.136659196,66617893,78167731
132.139258029,65434936,78113139
134.14183319,64474412,77014455
136.143773562,65474262,77804522
138.14619907,65363400,79161012
140.147745837,64544200,78718012
142.148517151,64601668,78234360
144.150957342,65314453,78586442
146.151777947,64452799,77875424
148.154304327,64649825,77560840
150.156784462,65711032,77315544
152.159257843,66066643,78843319
154.16180513,65568016,78595073
156.16366409,65216493,78152278
158.16605367,65208471,78295769
160.167668191,65618763,78970886
162.17011355,65496070,78951272
164.171679368,65425314,77251653
166.174216243,64852805,77182751
168.175673953,64505550,76705690
170.178163047,65283637,77984590
172.180552504,65119173,77525923
174.183055611,65422527,76564856
176.185458028,65043113,76676189
178.187885151,64768503,76916707
180.190364718,64946682,76846639
182.191734336,65850457,77176498
184.194238535,65342535,79235847
186.195662292,65426116,78667807
188.198143916,65500358,76901737
190.199776101,65615171,78534789
192.202182043,65938979,79420500
194.204576326,65967948,78932026
196.207009608,65139998,79205484
198.207755236,64926337,78106113
200.210182498,64950183,77299712
202.212696145,65630810,77624715
204.2152151,65201085,78189245
206.21783461,65516048,77809753
208.220279072,65445333,78380795
210.222759172,65227385,78590937
212.225229986,65457479,77868486
214.22768205,65227136,78836015
216.230085893,65199758,77781497
218.231764968,65670658,78318040
220.23421494,65810047,77935604
222.23566191,65393750,78008202
224.23805534,65488624,79229423
226.240517778,65745098,78753590
228.243078318,65965062,78767168
230.243675211,66755727,78351518
232.246130841,65950242,77766330
234.248560455,64755860,77176055
236.250983107,65027445,77514389
238.251668494,64715353,77138100
240.254183816,65332072,77514928
242.255684319,64843003,77583117
244.258132035,64802778,77846972
246.260584103,64943497,77750610
248.263100916,65384284,78937641
250.265503843,64633947,78268152
252.267927562,65663883,78073708
254.270392747,65128618,78475711
256.271784362,65313797,77208835
258.274256868,65429323,78834747
260.276687738,65214369,77627531
262.279085945,64992925,78532291
264.279679034,65230614,77056449
266.282100013,64863524,77861647
268.284529548,64862828,78391773
270.287034478,65777808,77518400
272.289532733,65299237,78118170
274.291692355,65168980,78379578
276.29414754,65801151,79031792
278.296578815,65401094,78209299
280.299029764,65248022,78276987
282.301471508,64715940,78436383
284.303761735,64867806,76830715
286.306338415,64979285,77470357
288.30776249,64935836,78791222
290.310153048,65056466,79317380
292.312598047,65338572,78043844
294.315081959,65385399,78437732
296.317626494,65396286,78441226
298.319696793,65398405,77344570
300.32217505,65056738,77499455
302.323779737,65366408,78323125
304.326312553,65047319,78269088
306.328837641,65604846,78224293
308.087834807,56410654,66789962
