Time,Remote DRAM Accesses,Local DRAM Accesses
2.002093859,15805,36703
4.003647309,134,189
6.005793713,181268,2688621
8.007977096,502265,12612983
10.010187217,57783683,67484489
12.011728509,63254610,75899542
14.014240866,63386972,78569943
16.015731895,64760820,82102883
18.018161315,67195106,86190410
20.019727494,66939041,90187151
22.02219571,68805084,93658162
24.023741724,70329600,96448499
26.025309814,72423127,102344776
28.027656045,73160833,105472595
30.030131323,74729667,108868919
32.03166434,76427835,112919109
34.034105809,77717336,117343825
36.036537301,79300408,120882325
38.038920764,81239900,125253567
40.041346565,81816514,127924405
42.043769863,83562701,131733985
44.046202149,84955000,135160720
46.048633936,86725600,139199735
48.051036975,88159484,142152144
50.051768001,89325533,145579738
52.054349457,90589909,149170452
54.055724845,91905679,152394811
56.058201312,93833234,156278227
58.059729548,94526241,158383280
60.062133957,95343050,161155268
62.063658656,97326658,165446878
64.066079376,98320637,168279609
66.067720411,100097337,171868498
68.07024713,100797426,173841121
70.071735176,101910150,176890697
72.074105231,103850225,180520429
74.076525133,105477452,184537619
76.078911099,106366106,186243696
78.081318989,107098436,189012415
80.083668537,108488262,192005101
82.08607582,109990627,195437385
84.087660105,104376511,186513373
86.090046909,101172499,181168779
88.0925097,97511740,176407389
90.094924935,96681419,175151419
92.0956758,93613927,170308243
94.098129576,85238203,155902219
96.099669092,78623371,144479453
98.10221234,76533703,140586743
100.104824226,77138101,141737507
102.107396975,74741417,137688599
104.110225033,72679291,134116288
106.111671406,72599534,134401919
108.114351558,73172562,135957632
110.115662589,73163050,136044946
112.118359838,74337291,138167203
114.119668632,74388371,138622801
116.122233766,75104027,140331280
118.123687769,72755037,135417566
120.12636682,71025712,132544634
122.127679099,70543201,131640284
124.130367143,70837895,132525566
126.13305273,70930489,132461881
128.13571185,71515714,133563718
130.138320004,72054908,134826423
132.139727616,71912222,134980804
134.142432492,72842155,136716939
136.143665434,73011714,137073893
138.146303604,73267301,138142477
140.147741421,74060209,139472352
142.150487201,73557020,139014019
144.151728507,74007374,139850723
146.154540866,74243955,140433536
148.155677779,74560450,141151402
150.158308863,74957437,142067983
152.160910765,75635010,143602107
154.163678275,76183923,144702788
156.166325737,76493527,145266025
158.169134466,76607352,145678199
160.171842217,76787373,146031129
162.174454146,77204632,147222362
164.177220534,77286209,147568973
166.179676034,77955274,148842871
168.182260218,78219055,149311420
170.183692844,78431667,149927074
172.186432706,78960085,151255121
174.189024773,79061753,151286454
176.19170708,79312922,152096868
178.194491661,79964233,153564758
180.195659093,79594687,152833968
182.198261907,80210108,154143130
184.200900339,80312817,154306052
186.20358081,80878177,155601604
188.206348545,81131518,156161271
190.207748831,81423069,156838828
192.21039207,81809353,157828632
194.211712129,81980903,158230003
196.214396527,82439978,159214568
198.215677941,82320595,159340092
200.218342383,83053548,160561337
202.219749419,82925777,160590635
204.222341592,83594538,161880105
206.223715677,83563614,161937294
208.226314138,84325764,163577385
210.227670341,84480629,163979240
212.230246411,84538940,164151764
214.232879969,84800842,164589415
216.235563297,85319763,165794729
218.238321958,85285799,165960957
220.240957548,85340458,166162167
222.243592202,85466831,166567283
224.245393848,86175522,167816692
226.247972073,86412364,168450419
228.25065423,86833588,169514626
230.251665367,86939647,169886072
232.254350617,87376684,170990521
234.256948873,87460551,171087547
236.259549548,87879517,171913502
238.262130899,87947422,172179532
240.263675983,88252178,172853767
242.266278049,88443006,173093928
244.268892718,88954944,174322971
246.271510292,89257746,175203407
248.274191216,89669581,176020968
250.276845866,89606809,175991520
252.279454074,89739009,176415184
254.282074586,89920246,176725137
256.28367891,90413685,177966129
258.286358842,90746195,178563335
260.28768461,91056168,179190879
262.290249244,91193320,179498400
264.291748477,91512860,180435967
266.294345491,91640737,180525534
268.296920876,91999024,181398059
270.299517617,92371848,182103244
272.302178082,92600185,182697974
274.303751459,92971200,183596915
276.306392699,92858483,183364737
278.307666745,92941736,183792959
280.310233187,93427935,184752209
282.31168782,93540075,184989950
284.314275128,93877679,185734667
286.315689895,93777143,185893109
288.318355402,94450192,187049011
290.321098895,94802591,187674341
292.323663705,94949219,188221213
294.326287144,94744512,188078478
296.328845734,95152120,188823893
298.33146675,95382531,189162053
300.334114916,95572260,189779357
302.335673534,95744022,189953127
304.338330728,96004010,190837185
306.340907633,96285662,191241500
308.343572083,89940474,178523452
308.392166304,19488,80891
