Time,Remote DRAM Accesses,Local DRAM Accesses
2.00202604,63924,1971993
4.004148219,77251,206150
6.006230244,55192,192015
8.0083287,49468,195694
10.0104223,44208,161192
12.012514996,46366,200308
14.014610685,55946,225901
16.015917532,63473,215787
18.018008788,62087,214653
20.020109359,51544,204587
22.022194417,56213,226973
24.024280712,56709,224138
26.026374955,48735,223318
28.028470664,51029,178263
30.030566299,48473,196975
32.03265757,47477,198142
34.034751549,46663,224315
36.03684597,46336,215906
36.143425837,2231,5811
