Date, Time, num_threads, thread_config, DS_config, bucket_count, run_freq, FileRead(ms), PerNodeMerge(ms), SingleThreadMerge(ms), SingleNodeMerge(ms), MultiNodeMerge(ms), TotalLat(ms)
2025-10-19, 16:22:20, 40, numa, numa, 10, 1, 131766.238, 104776.250, 5681.958, 2443.065, 2677.443, 247344.956
2025-10-19, 16:24:08, 40, numa, numa, 100, 1, 13999.894, 11044.268, 568.067, 467.563, 593.883, 26673.675
2025-10-19, 16:24:49, 40, numa, numa, 1024, 1, 1555.715, 1115.135, 64.258, 98.220, 159.334, 2992.660
2025-10-19, 16:25:27, 40, numa, numa, 2048, 1, 1019.846, 733.090, 42.400, 80.309, 109.906, 1985.552
2025-10-19, 17:12:26, 40, numa, numa, 10, 1, 116509.854, 60759.514, 3189.166, 17230.749, 18468.676, 216157.958
2025-10-19, 17:13:56, 40, numa, numa, 100, 1, 13089.166, 6660.596, 347.629, 987.401, 2208.136, 23292.929
2025-10-19, 17:14:32, 40, numa, numa, 1024, 1, 1707.493, 1317.635, 38.248, 162.468, 370.445, 3596.290
2025-10-19, 17:15:11, 40, numa, numa, 2048, 1, 1066.395, 872.049, 50.840, 109.755, 211.569, 2310.608
2025-10-19, 17:30:41, 80, numa, numa, 10, 1, 162537.729, 126344.284, 3151.117, 18216.441, 18589.406, 328838.977
2025-10-19, 17:32:34, 80, numa, numa, 100, 1, 13372.965, 13670.363, 656.433, 2106.857, 2798.796, 32605.414
2025-10-19, 17:33:09, 80, numa, numa, 1024, 1, 1496.117, 1489.536, 47.671, 269.379, 393.829, 3696.532
2025-10-19, 17:33:45, 80, numa, numa, 2048, 1, 909.017, 1201.355, 26.653, 166.293, 309.011, 2612.329
2025-10-19, 17:42:35, 40, numa, regular, 10, 1, 91768.506, 55086.980, 2908.288, 13204.731, 14767.531, 177736.035
2025-10-19, 17:44:01, 40, numa, regular, 100, 1, 12683.183, 6925.249, 349.103, 963.679, 1842.602, 22763.817
2025-10-19, 17:44:38, 40, numa, regular, 1024, 1, 1632.917, 1025.016, 41.019, 130.887, 279.445, 3109.284
2025-10-19, 17:45:12, 40, numa, regular, 2048, 1, 1028.907, 830.658, 50.258, 124.563, 152.120, 2186.505
2025-10-19, 17:58:19, 80, numa, regular, 10, 1, 127492.786, 115344.608, 3004.067, 13612.291, 14632.474, 274086.226
2025-10-19, 18:00:00, 80, numa, regular, 100, 1, 11587.076, 12957.155, 333.214, 1339.146, 2070.147, 28286.738
2025-10-19, 18:00:36, 80, numa, regular, 1024, 1, 1402.529, 1747.272, 38.537, 199.876, 428.140, 3816.354
2025-10-19, 18:01:12, 80, numa, regular, 2048, 1, 777.218, 1260.253, 25.674, 128.722, 204.086, 2395.953
2025-10-19, 18:10:56, 40, regular, numa, 10, 1, 111686.642, 62184.730, 3090.510, 18258.871, 18279.399, 213500.152
2025-10-19, 18:12:26, 40, regular, numa, 100, 1, 12178.478, 8500.074, 347.393, 1686.768, 2325.563, 25038.275
2025-10-19, 18:13:01, 40, regular, numa, 1024, 1, 1885.806, 1219.763, 42.730, 239.395, 340.488, 3728.183
2025-10-19, 18:13:36, 40, regular, numa, 2048, 1, 1166.406, 962.630, 29.066, 140.330, 180.929, 2479.362
2025-10-19, 18:28:55, 80, regular, numa, 10, 1, 152998.716, 125173.349, 3449.396, 18729.866, 18287.547, 318638.874
2025-10-19, 18:30:49, 80, regular, numa, 100, 1, 13881.615, 13818.604, 356.425, 2454.581, 2888.982, 33400.206
2025-10-19, 18:31:24, 80, regular, numa, 1024, 1, 1627.251, 1834.599, 37.210, 351.195, 461.115, 4311.371
2025-10-19, 18:32:00, 80, regular, numa, 2048, 1, 966.388, 1584.974, 26.780, 213.172, 282.560, 3073.875
2025-10-19, 18:41:00, 40, regular, regular, 10, 1, 100491.177, 55176.055, 3341.018, 14069.967, 14991.221, 188069.439
2025-10-19, 18:42:25, 40, regular, regular, 100, 1, 11996.090, 6360.766, 648.400, 1118.206, 1809.105, 21932.568
2025-10-19, 18:42:59, 40, regular, regular, 1024, 1, 2274.217, 1119.697, 37.221, 196.578, 282.475, 3910.187
2025-10-19, 18:43:30, 40, regular, regular, 2048, 1, 1295.915, 881.675, 44.722, 120.841, 208.573, 2551.724
2025-10-19, 18:56:49, 80, regular, regular, 10, 1, 119401.044, 118859.590, 3428.851, 14375.447, 14515.209, 270580.141
2025-10-19, 18:58:33, 80, regular, regular, 100, 1, 11837.953, 13103.319, 335.237, 1828.859, 2174.384, 29279.752
2025-10-19, 18:59:08, 80, regular, regular, 1024, 1, 1351.860, 1693.933, 36.675, 287.618, 372.586, 3742.671
2025-10-19, 18:59:47, 80, regular, regular, 2048, 1, 846.027, 1731.144, 25.340, 202.073, 280.541, 3085.125































































2025-10-19, 22:12:21, 40, numa, numa, 10, 1, 133099.528, 105937.717, 5271.565, 2320.542, 2572.768, 249202.120
2025-10-19, 22:14:12, 40, numa, numa, 100, 1, 14403.073, 11133.902, 579.935, 457.655, 573.564, 27148.129
2025-10-19, 22:14:55, 40, numa, numa, 1024, 1, 1946.317, 1155.184, 64.858, 105.725, 173.875, 3445.959
2025-10-19, 22:15:34, 40, numa, numa, 2048, 1, 1235.139, 740.341, 42.483, 83.633, 121.739, 2223.334
2025-10-19, 22:34:38, 80, numa, numa, 10, 1, 160377.505, 218613.759, 5012.612, 2446.920, 2725.163, 389175.959
2025-10-19, 22:37:15, 80, numa, numa, 100, 1, 17748.009, 24236.639, 581.205, 524.389, 646.410, 43736.652
2025-10-19, 22:38:03, 80, numa, numa, 1024, 1, 1889.003, 2504.752, 64.852, 140.977, 187.928, 4787.511
2025-10-19, 22:38:46, 80, numa, numa, 2048, 1, 1260.555, 1620.119, 42.653, 101.999, 129.367, 3154.693
2025-10-19, 22:48:57, 40, numa, regular, 10, 1, 100134.222, 93628.903, 4973.024, 2037.291, 2272.342, 203045.782
2025-10-19, 22:50:35, 40, numa, regular, 100, 1, 12156.293, 10500.816, 494.908, 412.083, 571.254, 24135.355
2025-10-19, 22:51:14, 40, numa, regular, 1024, 1, 1513.971, 1069.218, 55.958, 93.877, 150.758, 2883.783
2025-10-19, 22:51:51, 40, numa, regular, 2048, 1, 979.625, 708.512, 36.492, 77.717, 109.635, 1911.982
2025-10-19, 23:06:52, 80, numa, regular, 10, 1, 94721.095, 194337.710, 4899.197, 2113.664, 2404.652, 298476.319
2025-10-19, 23:09:02, 80, numa, regular, 100, 1, 12274.039, 22110.090, 494.092, 410.760, 566.198, 35855.179
2025-10-19, 23:09:45, 80, numa, regular, 1024, 1, 1501.854, 2190.365, 54.685, 108.886, 150.932, 4006.722
2025-10-19, 23:10:24, 80, numa, regular, 2048, 1, 965.670, 1454.934, 35.619, 83.512, 116.835, 2656.571
2025-10-19, 23:23:21, 40, regular, numa, 10, 1, 146739.054, 103525.345, 5664.200, 2396.526, 2638.173, 260963.298
2025-10-19, 23:25:09, 40, regular, numa, 100, 1, 14018.874, 11262.222, 576.090, 545.405, 620.794, 27023.385
2025-10-19, 23:25:52, 40, regular, numa, 1024, 1, 2144.718, 1169.458, 63.169, 144.352, 178.925, 3700.622
2025-10-19, 23:26:31, 40, regular, numa, 2048, 1, 1352.345, 747.727, 38.461, 113.893, 126.342, 2378.768
2025-10-19, 23:46:33, 80, regular, numa, 10, 1, 181403.213, 215575.522, 5003.424, 2531.743, 2706.963, 407220.865
2025-10-19, 23:49:12, 80, regular, numa, 100, 1, 18119.385, 24050.712, 569.994, 629.107, 647.338, 44016.535
2025-10-19, 23:50:01, 80, regular, numa, 1024, 1, 1948.607, 2457.289, 60.221, 195.264, 185.242, 4846.623
2025-10-19, 23:50:44, 80, regular, numa, 2048, 1, 1145.396, 1644.960, 38.655, 134.897, 129.400, 3093.308
2025-10-20, 00:00:51, 40, regular, regular, 10, 1, 99163.718, 93605.591, 4978.964, 2149.388, 2319.035, 202216.695
2025-10-20, 00:02:26, 40, regular, regular, 100, 1, 11005.996, 10485.004, 492.145, 426.714, 579.732, 22989.591
2025-10-20, 00:03:07, 40, regular, regular, 1024, 1, 1620.790, 1100.029, 52.374, 124.432, 164.136, 3061.761
2025-10-20, 00:03:46, 40, regular, regular, 2048, 1, 1008.768, 746.507, 36.513, 101.246, 115.054, 2008.087
2025-10-20, 00:18:41, 80, regular, regular, 10, 1, 91061.297, 194063.472, 4971.971, 2297.648, 2368.436, 294762.824
2025-10-20, 00:20:50, 80, regular, regular, 100, 1, 11179.026, 22211.436, 494.885, 461.678, 577.228, 34924.254
2025-10-20, 00:21:34, 80, regular, regular, 1024, 1, 1459.213, 2228.708, 52.544, 146.321, 140.637, 4027.423
2025-10-20, 00:22:16, 80, regular, regular, 2048, 1, 970.642, 1509.239, 35.909, 112.127, 118.812, 2746.729





























































2025-10-20, 14:30:03, 40, numa, numa, 10, 1, 110289.693, 61148.713, 3120.780, 17150.132, 18599.178, 210308.495

2025-10-20, 14:31:35, 40, numa, numa, 100, 1, 12964.913, 7160.803, 367.877, 906.659, 2333.703, 23733.955

2025-10-20, 14:32:10, 40, numa, numa, 1024, 1, 1680.156, 1380.389, 42.466, 160.172, 387.353, 3650.536

2025-10-20, 14:32:49, 40, numa, numa, 2048, 1, 1122.228, 723.643, 50.420, 172.642, 200.854, 2269.786

2025-10-20, 14:48:30, 80, numa, numa, 10, 1, 164421.382, 127806.311, 3629.683, 17973.807, 18528.095, 332359.277

2025-10-20, 14:50:23, 80, numa, numa, 100, 1, 13436.292, 13795.205, 352.325, 1778.610, 2836.532, 32198.964

2025-10-20, 14:50:59, 80, numa, numa, 1024, 1, 1489.074, 1851.072, 39.737, 248.527, 464.323, 4092.733

2025-10-20, 14:51:35, 80, numa, numa, 2048, 1, 907.422, 1573.731, 27.091, 153.126, 240.508, 2901.878

2025-10-20, 15:00:09, 40, numa, regular, 10, 1, 90274.367, 56051.002, 3419.854, 13673.573, 14904.416, 178323.212

2025-10-20, 15:01:34, 40, numa, regular, 100, 1, 14399.936, 6927.654, 336.158, 962.819, 1731.140, 24357.706

2025-10-20, 15:02:11, 40, numa, regular, 1024, 1, 1669.600, 703.208, 41.382, 134.328, 273.019, 2821.538

2025-10-20, 15:02:46, 40, numa, regular, 2048, 1, 1191.185, 892.738, 44.646, 123.807, 229.916, 2482.292

2025-10-20, 15:15:54, 80, numa, regular, 10, 1, 127736.393, 115164.834, 2947.916, 13959.673, 14514.048, 274322.865

2025-10-20, 15:17:33, 80, numa, regular, 100, 1, 11435.106, 12936.614, 332.714, 1037.322, 2106.522, 27848.279

2025-10-20, 15:18:09, 80, numa, regular, 1024, 1, 1317.605, 1939.107, 38.114, 200.872, 343.598, 3839.295

2025-10-20, 15:18:43, 80, numa, regular, 2048, 1, 783.192, 1200.885, 48.956, 128.041, 200.656, 2361.730

2025-10-20, 15:28:19, 40, regular, numa, 10, 1, 111362.663, 60864.253, 3088.042, 18218.790, 18481.156, 212014.904

2025-10-20, 15:29:44, 40, regular, numa, 100, 1, 12570.473, 6660.178, 348.026, 1824.618, 2385.011, 23788.306

2025-10-20, 15:30:17, 40, regular, numa, 1024, 1, 2624.570, 772.920, 36.882, 231.343, 339.650, 4005.364

2025-10-20, 15:30:49, 40, regular, numa, 2048, 1, 1487.649, 538.369, 24.998, 151.893, 206.298, 2409.206

2025-10-20, 15:46:05, 80, regular, numa, 10, 1, 154522.489, 128368.924, 3374.742, 19051.284, 18494.763, 323812.202

2025-10-20, 15:48:00, 80, regular, numa, 100, 1, 14153.765, 14557.128, 347.340, 2429.064, 2744.651, 34231.948

2025-10-20, 15:48:34, 80, regular, numa, 1024, 1, 1571.525, 1566.172, 37.414, 348.921, 300.413, 3824.445

2025-10-20, 15:49:12, 80, regular, numa, 2048, 1, 977.177, 1062.230, 26.365, 220.281, 276.604, 2562.657

2025-10-20, 15:58:06, 40, regular, regular, 10, 1, 101730.607, 57473.018, 3092.082, 14099.782, 14659.826, 191055.315

2025-10-20, 15:59:28, 40, regular, regular, 100, 1, 11097.450, 6824.228, 639.326, 1373.595, 1829.648, 21764.247

2025-10-20, 16:00:02, 40, regular, regular, 1024, 1, 2060.860, 1115.219, 37.458, 173.040, 283.699, 3670.275

2025-10-20, 16:00:33, 40, regular, regular, 2048, 1, 1009.407, 756.766, 23.775, 120.447, 157.264, 2067.659

2025-10-20, 16:13:25, 80, regular, regular, 10, 1, 114443.440, 113912.158, 3482.809, 14269.395, 14492.410, 260600.211

2025-10-20, 16:15:07, 80, regular, regular, 100, 1, 11811.245, 13545.566, 647.782, 1846.482, 2108.381, 29959.458

2025-10-20, 16:15:42, 80, regular, regular, 1024, 1, 1395.661, 1461.111, 40.391, 300.882, 389.901, 3587.947

